timestamp,open,high,low,close
2018-05-24,0.62788000,0.69796000,0.61536000,0.65383000
2018-05-25,0.65846000,0.71000000,0.62000000,0.62491000
2018-05-26,0.62489000,0.72000000,0.61732000,0.63044000
2018-05-27,0.62838000,0.64001000,0.62000000,0.62566000
2018-05-28,0.63500000,0.64577000,0.58225000,0.58862000
2018-05-29,0.58839000,0.63909000,0.55534000,0.62958000
2018-05-30,0.62162000,0.64000000,0.58862000,0.60495000
2018-05-31,0.59824000,0.60453000,0.55040000,0.55040000
2018-06-01,0.55040000,0.56061000,0.53760000,0.55479000
2018-06-02,0.55266000,0.57579000,0.52481000,0.54843000
2018-06-03,0.54841000,0.56171000,0.53528000,0.54513000
2018-06-04,0.54513000,0.55521000,0.51357000,0.51960000
2018-06-05,0.51780000,0.51780000,0.46081000,0.46961000
2018-06-06,0.48412000,0.48416000,0.41671000,0.42292000
2018-06-07,0.42400000,0.46594000,0.41800000,0.45493000
2018-06-08,0.45372000,0.48931000,0.42240000,0.42758000
2018-06-09,0.43122000,0.43345000,0.36001000,0.40258000
2018-06-10,0.39684000,0.41396000,0.36001000,0.39557000
2018-06-11,0.40627000,0.50000000,0.36019000,0.37800000
2018-06-12,0.37800000,0.37800000,0.32159000,0.33548000
2018-06-13,0.32710000,0.33413000,0.30004000,0.31670000
2018-06-14,0.31670000,0.36485000,0.31670000,0.34489000
2018-06-15,0.34853000,0.35635000,0.30854000,0.31819000
2018-06-16,0.31819000,0.32177000,0.28911000,0.29737000
2018-06-17,0.29737000,0.29985000,0.27100000,0.27870000
2018-06-18,0.27615000,0.29366000,0.25929000,0.29035000
2018-06-19,0.29035000,0.33000000,0.28625000,0.29068000
2018-06-20,0.28887000,0.32878000,0.28887000,0.30189000
2018-06-21,0.30190000,0.30802000,0.26858000,0.27075000
2018-06-22,0.27396000,0.27800000,0.22801000,0.24781000
2018-06-23,0.24650000,0.30000000,0.24059000,0.26119000
2018-06-24,0.26796000,0.34000000,0.24018000,0.25800000
2018-06-25,0.25800000,0.26821000,0.24248000,0.25776000
2018-06-26,0.26274000,0.27476000,0.24000000,0.25862000
2018-06-27,0.25586000,0.27907000,0.25504000,0.25965000
2018-06-28,0.26427000,0.31000000,0.24684000,0.24690000
2018-06-29,0.24500000,0.25558000,0.23001000,0.25059000
2018-06-30,0.24700000,0.26630000,0.24700000,0.26573000
2018-07-01,0.26097000,0.28833000,0.25774000,0.28171000
2018-07-02,0.28171000,0.31941000,0.27568000,0.29820000
2018-07-03,0.29820000,0.30961000,0.28161000,0.29127000
2018-07-04,0.27838000,0.32960000,0.27687000,0.31442000
2018-07-05,0.31500000,0.32438000,0.29851000,0.29884000
2018-07-06,0.30572000,0.31428000,0.28819000,0.30000000
2018-07-07,0.30554000,0.30681000,0.27444000,0.29527000
2018-07-08,0.29882000,0.32180000,0.29191000,0.29977000
2018-07-09,0.29714000,0.30338000,0.28288000,0.29076000
2018-07-10,0.29185000,0.29615000,0.28365000,0.28579000
2018-07-11,0.28579000,0.29469000,0.28579000,0.28942000
2018-07-12,0.28942000,0.29659000,0.28370000,0.29659000
2018-07-13,0.29748000,0.29748000,0.28955000,0.29340000
2018-07-14,0.28955000,0.29659000,0.28684000,0.29659000
2018-07-15,0.29659000,0.30445000,0.29205000,0.29932000
2018-07-16,0.29932000,0.30264000,0.27553000,0.29734000
2018-07-17,0.30161000,0.33382000,0.29153000,0.32180000
2018-07-18,0.32180000,0.35295000,0.31921000,0.33565000
2018-07-19,0.33279000,0.33279000,0.30186000,0.30535000
2018-07-20,0.30536000,0.31530000,0.28758000,0.30493000
2018-07-21,0.29879000,0.31010000,0.29007000,0.30697000
2018-07-22,0.30555000,0.30817000,0.29514000,0.30045000
2018-07-23,0.29774000,0.30394000,0.27956000,0.28330000
2018-07-24,0.28860000,0.30355000,0.26500000,0.29106000
2018-07-25,0.28785000,0.29892000,0.26684000,0.28599000
2018-07-26,0.27907000,0.28585000,0.25454000,0.26775000
2018-07-27,0.25263000,0.28561000,0.24800000,0.26719000
2018-07-28,0.26941000,0.28160000,0.25231000,0.25881000
2018-07-29,0.25558000,0.28768000,0.25558000,0.26550000
2018-07-30,0.26497000,0.28160000,0.25302000,0.27135000
2018-07-31,0.27032000,0.27032000,0.22086000,0.23008000
2018-08-01,0.22875000,0.23893000,0.21695000,0.22357000
2018-08-02,0.23122000,0.23431000,0.16691000,0.19400000
2018-08-03,0.19267000,0.20061000,0.18031000,0.19196000
2018-08-04,0.18947000,0.19348000,0.17550000,0.18324000
2018-08-05,0.18324000,0.19373000,0.18324000,0.18845000
2018-08-06,0.18515000,0.19420000,0.18148000,0.18671000
2018-08-07,0.18676000,0.20147000,0.17419000,0.18137000
2018-08-08,0.18137000,0.18593000,0.16478000,0.17481000
2018-08-09,0.17524000,0.20000000,0.17005000,0.18329000
2018-08-10,0.17750000,0.18191000,0.16405000,0.16917000
2018-08-11,0.16644000,0.23895000,0.16036000,0.16930000
2018-08-12,0.16701000,0.17440000,0.16059000,0.17249000
2018-08-13,0.16429000,0.16896000,0.15260000,0.16581000
2018-08-14,0.15564000,0.18999000,0.14991000,0.16987000
2018-08-15,0.17244000,0.18302000,0.15658000,0.17787000
2018-08-16,0.17768000,0.18761000,0.17160000,0.17317000
2018-08-17,0.17358000,0.23593000,0.17351000,0.20976000
2018-08-18,0.20499000,0.21392000,0.18580000,0.19040000
2018-08-19,0.19214000,0.19787000,0.18646000,0.18964000
2018-08-20,0.18903000,0.20475000,0.18500000,0.18500000
2018-08-21,0.18851000,0.19797000,0.18068000,0.19080000
2018-08-22,0.18898000,0.19752000,0.18821000,0.19266000
2018-08-23,0.18839000,0.19881000,0.18839000,0.19730000
2018-08-24,0.20323000,0.20323000,0.18886000,0.19306000
2018-08-25,0.19306000,0.19859000,0.18958000,0.19656000
2018-08-26,0.19588000,0.19893000,0.18700000,0.18875000
2018-08-27,0.18875000,0.19880000,0.17798000,0.18696000
2018-08-28,0.19194000,0.22672000,0.18962000,0.20937000
2018-08-29,0.21099000,0.23077000,0.20209000,0.20399000
2018-08-30,0.20399000,0.20816000,0.19660000,0.20056000
2018-08-31,0.20056000,0.38915000,0.19898000,0.21329000
2018-09-01,0.21473000,0.24438000,0.21180000,0.22440000
2018-09-02,0.22426000,0.23444000,0.21795000,0.23443000
2018-09-03,0.23443000,0.23443000,0.21538000,0.22510000
2018-09-04,0.22354000,0.22819000,0.21230000,0.22355000
2018-09-05,0.22158000,0.22639000,0.19723000,0.19802000
2018-09-06,0.19581000,0.20023000,0.18547000,0.19180000
